asin,product_name,brand,sku,seo_owner,ppc_owner,in_monthly_pnl,in_prime_day
B07RWZZKSX,mysmile Activated Charcoal Powder with Bamboo Toothbrush  200 g  Powder,Other,,,,0,0
B07RY9SYLV,VitalCore Vegan Collagen Advanced 180 Capsules,VitalCore,,Aneesh,Sourabh,1,0
B07S69QJY5,VitalCore ABS Stimulator Replacement Gel Pads,VitalCore,,,,0,0
B07T9434LK,Viaman Viaman| USA,Other,,,,0,0
B07THZPZY8,Medora GynecoMax,Medora,,,,0,0
B07TJJY1FN,ViaHer Pro   15 Capsules,Other,,,,0,0
B07TYY1QJ3,VitalCore Hemp Seed Oil 1000mg 180 Softgels,VitalCore,,Tamahra,Syed,0,0
B07V4NJH81,VitalCore Vitamin D3 2000IU,VitalCore,,,,0,0
B07VK43M7B,VitalCore Skinny Coffee 28 days,VitalCore,,,,0,0
B07W4DF7GM,VitalCore Circulator Patch,VitalCore,,,,0,0
B07W5JDT32,VitalCore Hemp Patch 20 Patches,VitalCore,,Tamahra,Syed,0,0
B07W61JXND,VitalCore Spirulina,VitalCore,,,,0,0
B07WG96M8C,VitalCore Spirulina,VitalCore,,,,0,0
B07WGGXFMJ,VitalCore Pure C8 MCT Oil,VitalCore,,,,0,0
B07WW8321X,Medora DHEA 50mg | USA,Medora,,,,0,0
B07X116WMQ,Medora HairGenesis Trichoceutical Shampoo,Medora,,,,0,0
B07X253KBJ,Medora HairGenesis Trichoceutical Conditioner,Medora,,,,0,0
B07X345PDP,Medora HairGenesis Trichoceutical Oral,Medora,,,,0,0
B07X47ZPFT,Medora HairGenesis Trichoceutical Serum,Medora,,,,0,0
B07YBG7V2P,VitalCore VitalCore Coq10 | USA,VitalCore,,,,0,0
B07YNVK1MB,VitalCore Organic Turmeric,VitalCore,CC0344,Twinkle,Srikara,1,1
B07YPSCV5L,VitalCore Liposomal Vitamin C,VitalCore,,,,0,0
B07YQ59VCS,VitalCore Pure Cold Pressed Fenugreek 100ml Oil,VitalCore,,Tamahra,Sourabh,0,0
B07YSK1XSY,Medora VariGo,Medora,,,,0,0
B07YX1V2WZ,VitalCore Chocolate Detox,VitalCore,,,,0,0
B07YX2398S,VitalCore Marine Collagen Sachets,VitalCore,,,,0,0
B07YX5G5KG,VitalCore Chlorella,VitalCore,,,,0,0
B07Z4YFZ7R,VitalCore Keto Collagen Advanced,VitalCore,,,,0,0
B07Z56S33H,VitalCore Advanced Marine Collagen Drink,VitalCore,,,,0,0
B07ZD7GNL4,VitalCore Herbal Better Mood: St Johns Wort,VitalCore,,,,0,0
B07ZKMCN2Z,VitalCore Bio Culture Complex 77Billion 60 Capsules,VitalCore,CC0342,Aneesh,Srikara,1,1
B07ZZ4G399,VitalCore Hyaluronic Acid 600mg 180 Capsules,VitalCore,CC0345,Tamahra,Akshay,0,1
B0814QB867,VitalCore Keto Nootropics Complex,VitalCore,,,,0,0
B0817WBXKF,VitalCore Biotin 12000mcg 365 Tablets,VitalCore,CC0349,Twinkle,Syed,0,1
B081FDCSTZ,Viaman Black Maca Complex 5550 mg 180 Capsules,Other,,,,0,0
B081NCGQPB,VitalCore Apple Cider Vinegar Complex 1860mg 180 Capsules,VitalCore,CC0343,Aneesh,Syed,1,1
B081RTQ1B3,PawVista Pet's Paw and Nose 60ml Balm,PawVista,,Shirley,Srikara,1,0
B081RYKPRB,PawVista Grooming and De-shedding     Brush,PawVista,,,,0,0
B081RYXTS1,Eco Masters Retinol,Other,,,,0,0
B081S1YJL8,VitalCore Keto Complex,VitalCore,,,,0,0
B081S38T6H,Eco Masters Anti Ageing Eye,Other,,,,0,0
B081S3LLCJ,Eco Masters Vitamin C,Other,,,,0,0
B081VJP2BR,Viaman L-Arginine Capsules,Other,,,,0,0
B081YZ7SM2,mysmile mysmile Activated Charcoal Powder,Other,,,,0,0
B081Z6V1J6,VitalCore Peppermint Oil 200mg 365 Softgel,VitalCore,,Aneesh,Syed,1,0
B081Z8FHX3,VitalCore Vegan Collagen Powder,VitalCore,,,,0,0
B082J1MS21,PawVista Flea & Tick Shampoo 500 ml  Shampoo,PawVista,,,,0,0
B082VC3VXK,PawVista Pet Nail Grinder    Device,PawVista,,,,0,0
B0836S147F,VitalCore Keto Omega 3 Fish Oil,VitalCore,,,,0,0
B084D2PGLT,VitalCore Go Blend Pro,VitalCore,,,,0,0
B084G5XC29,VitalCore Omega 3 Fish Oil 2000mg 240 Softgels,VitalCore,CC0350,Twinkle,Srikara,0,1
B085SZT5LL,PawVista Retractable Dog Leash    Device,PawVista,,,,0,0
B085W65GKF,VitalCore Vitamin C with Rosehip and Bioflavonoids 1000mg 180 Tablets,VitalCore,CC0369,Tamahra,Srikara,0,1
B085YB89VL,VitalCore Liposomal Vitamin C  | eBay,VitalCore,,,,0,0
B086N15BFN,VitalCore Elderberry Advanced 60 capsules (USA),VitalCore,,,,0,0
B086T13DD6,VitalCore Multivitamin Gummies 120 Gummies,VitalCore,CC0371,Aneesh,Sourabh,1,1
B086V74KKR,VitalCore Vitamin D3 4000 IU 400 Tablets,VitalCore,,Tamahra,Akshay,0,1
B087448JBG,Medora Premium Vitamin C Multi Ingredients Blend,Medora,,,,0,0
B087C2M9LH,VitalCore Liposomal Vitamin D3 + K2 250ml,VitalCore,,Tamahra,Akshay,0,0
B087D1FHGT,VitalCore Mood Complex,VitalCore,,,,0,0
B087MY1THL,Medora Menustral - Large,Medora,,,,0,0
B087NB55JS,Medora Menustral - Small,Medora,,,,0,0
B0881XQB6K,VitalCore Elderberry Advanced,VitalCore,,,,0,0
B088P555HF,Medora Vitamin D3 |Germany,Medora,,,,0,0
B088RKYG7C,VitalCore Bio Culture Complex | Germany 60 Billion  120 Capsules,VitalCore,,Aneesh,Srikara,1,1
B088SC8531,Medora Vitamin C Complex | Germany,Medora,,,,0,0
B088SJHM94,Medora Activated Charcoal Capsules | Germany,Medora,,,,0,0
B08914C67C,VitalCore HIP Trainer,VitalCore,,,,0,0
B089764H3P,VitalCore Pure Marine Collagen| Germany,VitalCore,,,,1,0
B0897VRRXJ,Medora Curcumin + D3 Liquid | Germany,Medora,,,,0,0
B089CPDF7R,VitalCore Keto - BHB | USA,VitalCore,,,,0,0
B089QCFCV4,VitalCore Organic Turmeric with Black pepper and Ginger 1520mg 180 Capsules,VitalCore,CC0392,Twinkle,Srikara,1,1
B089QGLQHK,VitalCore Montmorency Cherry 6000mg 180 Capsules,VitalCore,,Tamahra,Akshay,0,0
B089QHSS5H,VitalCore Certified (Bio) Organic Ginger 650mg 90 Capsule,VitalCore,CC0287,Twinkle,Sourabh,0,1
B089QHX5PH,VitalCore Odourless Garlic Oil 15000mg 180 Softgel,VitalCore,,Aneesh,Sourabh,1,0
B08B8QGBBT,Medora Vitamin D3 | Raspberry Flavour,Medora,,,,0,0
B08BTXFQ4F,VitalCore Magnesium Citrate 240 Capsules,VitalCore,CC0386,Shirley,Srikara,0,1
B08BWSTJBR,VitalCore Apple Cider Vinegar 1000mg 90 Gummies,VitalCore,,Aneesh,Syed,1,0
B08BXNX4MF,VitalCore Black Maca Complex 5000mg 180 Capsules,VitalCore,CC0384,Aneesh,Akshay,1,1
B08BZYM56L,VitalCore Organic Fenugreek 1500mg 180 Capsules,VitalCore,CC0390,Twinkle,Syed,1,1
B08D97X91K,mysmile Day and Night Toothpaste with Brush,Other,,,,0,0
B08D9N5CK4,VitalCore Electrolyte Complex 900mg 180 Tablets,VitalCore,CC0393,Aneesh,Sourabh,1,1
B08DG4NXBS,VitalCore Iron 28mg 400 Tablets,VitalCore,CC0395,Tamahra,Akshay,0,1
B08DG68P6B,VitalCore Vitamin D3 4000IU + K2 (MK-7) 100mcg 180 Tablets,VitalCore,CC0394,Tamahra,Akshay,0,1
B08FDVCKTG,VitalCore Water Away 180 Capsules,VitalCore,,Twinkle,Syed,1,0
B08FRK3GWP,VitalCore 5-HTP,VitalCore,,,,0,0
B08FRMBL3D,VitalCore Vitamin C Complex,VitalCore,,,,0,0
B08FRNVT5Q,VitalCore Keto MCT Oil Softgels,VitalCore,,,,0,0
B08G1XXC2Q,Medora Skin Tag Patch,Medora,,,,0,0
B08GCJTSYW,VitalCore 8 pads ABS Stimulator - USB    Device,VitalCore,,,,0,0
B08GCK14SQ,Viaman T-Boost,Other,,,,0,0
B08GG6TPN6,VitalCore Vitamin B Complex 365 Tablets,VitalCore,CC0409,Twinkle,Syed,1,1
B08GG8V1TG,Medora  OPC Grape Seed Extract,Medora,,,,0,0
B08GG8Z465,Medora Vitamin D3 for Kids 1000IU,Medora,,,,0,0
B08GG9642X,Medora Biotin Complex,Medora,,,,0,0
B08GG96FPL,VitalCore Vitamin B12 (Methylcobalamin) 1000mcg 400 Tablets,VitalCore,CC0406,Twinkle,Syed,1,1
B08GG9T6SW,VitalCore Zinc Bisglycinate 50mg 400 Tablets,VitalCore,CC0403,Tamahra,Syed,0,1
