asin,product_name,seo_owner,ppc_owner,event_date,time_slot,units,spend,day_total_units_jul8,day_total_spend_jul8,brand
B086V74KKR,VitalCore Vitamin D3 4000 iu,Tamahra,Akshay,2025-07-09,16:00,12.0,37.27,61.0,241.8,VitalCore
B07L9C38RD,VitalCore Glucosamine and Chondroitin 180 Capsules,Aneesh,Akshay,2025-07-08,12:00,11.0,10.03,61.0,109.97,VitalCore
B07L9C38RD,VitalCore Glucosamine and Chondroitin 180 Capsules,Aneesh,Akshay,2025-07-08,16:00,32.0,42.01,61.0,109.97,VitalCore
B07L9C38RD,VitalCore Glucosamine and Chondroitin 180 Capsules,Aneesh,Akshay,2025-07-08,18:00,37.0,47.39,61.0,109.97,VitalCore
B07L9C38RD,VitalCore Glucosamine and Chondroitin 180 Capsules,Aneesh,Akshay,2025-07-08,20:00,42.0,53.43,61.0,109.97,VitalCore
B07L9C38RD,VitalCore Glucosamine and Chondroitin 180 Capsules,Aneesh,Akshay,2025-07-09,12:30,3.0,4.82,61.0,109.97,VitalCore
B07L9C38RD,VitalCore Glucosamine and Chondroitin 180 Capsules,Aneesh,Akshay,2025-07-09,16:00,12.0,26.04,61.0,109.97,VitalCore
B08KRSRFGK,PawVista Wormwood Advanced for Cats & Dogs 120ml Liquid,Shirley,Srikara,2025-07-08,12:00,3.0,26.74,37.0,148.54,PawVista
B08KRSRFGK,PawVista Wormwood Advanced for Cats & Dogs 120ml Liquid,Shirley,Srikara,2025-07-08,16:00,13.0,54.53,37.0,148.54,PawVista
B08KRSRFGK,PawVista Wormwood Advanced for Cats & Dogs 120ml Liquid,Shirley,Srikara,2025-07-08,18:00,17.0,72.62,37.0,148.54,PawVista
B08KRSRFGK,PawVista Wormwood Advanced for Cats & Dogs 120ml Liquid,Shirley,Srikara,2025-07-08,20:00,17.0,79.12,37.0,148.54,PawVista
B08KRSRFGK,PawVista Wormwood Advanced for Cats & Dogs 120ml Liquid,Shirley,Srikara,2025-07-09,12:30,6.0,18.17,37.0,148.54,PawVista
